chapter,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_counts,chapter_names,file
32,5.0,14,12.0,13.0,17.0,23.0,40,10.0,6.0,28,1030,SECTION XXXI,Mahabharata
33,10.0,6,3.0,15.0,8.0,22.0,28,6.0,4.0,14,694,SECTION XXXII,Mahabharata
34,15.0,11,9.0,14.0,13.0,21.0,21,10.0,5.0,17,732,SECTION XXXIII,Mahabharata
35,5.0,14,6.0,7.0,17.0,17.0,38,9.0,5.0,21,784,SECTION XXXIV,Mahabharata
36,4.0,2,1.0,6.0,3.0,8.0,6,3.0,0.0,4,389,SECTION XXXV,Mahabharata
37,6.0,14,15.0,13.0,15.0,22.0,39,9.0,4.0,25,824,SECTION XXXVI,Mahabharata
38,14.0,14,8.0,20.0,15.0,32.0,38,16.0,5.0,24,860,SECTION XXXVII,Mahabharata
39,14.0,9,10.0,15.0,7.0,21.0,19,9.0,2.0,9,543,SECTION XXXVIII,Mahabharata
40,6.0,11,9.0,11.0,7.0,20.0,25,9.0,0.0,12,385,SECTION XXXIX,Mahabharata
41,10.0,13,5.0,11.0,15.0,28.0,35,5.0,5.0,22,888,SECTION XL,Mahabharata
42,25.0,16,24.0,28.0,10.0,43.0,50,19.0,3.0,26,768,SECTION XLI,Mahabharata
43,26.0,30,16.0,26.0,24.0,38.0,71,27.0,13.0,36,1191,SECTION XLII,Mahabharata
44,18.0,19,24.0,16.0,18.0,41.0,49,12.0,13.0,19,1001,SECTION XLIII,Mahabharata
45,4.0,10,4.0,7.0,16.0,10.0,33,7.0,6.0,11,419,SECTION XLIV,Mahabharata
46,8.0,23,13.0,19.0,22.0,31.0,40,28.0,7.0,18,965,SECTION XLV,Mahabharata
47,9.0,10,6.0,12.0,9.0,19.0,19,7.0,4.0,10,659,SECTION XLVI,Mahabharata
48,26.0,21,13.0,24.0,25.0,46.0,65,19.0,13.0,41,1221,SECTION XLVII,Mahabharata
49,6.0,14,10.0,9.0,19.0,18.0,43,7.0,2.0,19,651,SECTION XLVIII,Mahabharata
50,8.0,15,5.0,8.0,15.0,16.0,42,6.0,8.0,32,860,SECTION XLIX,Mahabharata
51,43.0,24,41.0,37.0,16.0,68.0,45,31.0,10.0,38,1465,SECTION L,Mahabharata
52,3.0,3,7.0,7.0,6.0,11.0,27,2.0,3.0,13,444,SECTION LI,Mahabharata
53,5.0,2,3.0,8.0,2.0,16.0,7,13.0,1.0,6,262,SECTION LII,Mahabharata
54,8.0,5,6.0,17.0,6.0,24.0,25,15.0,0.0,7,657,SECTION LIII,Mahabharata
55,18.0,14,8.0,19.0,16.0,34.0,40,17.0,7.0,20,854,SECTION LIV,Mahabharata
56,2.0,18,6.0,12.0,23.0,13.0,45,18.0,17.0,15,704,SECTION LV,Mahabharata
57,9.0,12,8.0,10.0,10.0,22.0,41,6.0,1.0,11,862,SECTION LVI,Mahabharata
58,8.0,2,11.0,19.0,2.0,23.0,8,19.0,0.0,7,604,SECTION LVII,Mahabharata
59,11.0,11,5.0,14.0,23.0,22.0,45,6.0,9.0,11,892,SECTION LVIII,Mahabharata
60,0.0,3,0.0,0.0,4.0,1.0,9,1.0,4.0,3,271,SECTION LIX,Mahabharata
61,4.0,3,2.0,2.0,5.0,6.0,32,0.0,1.0,8,600,SECTION LX,Mahabharata
62,29.0,20,15.0,42.0,22.0,48.0,52,26.0,8.0,30,1557,SECTION LXI,Mahabharata
63,15.0,22,8.0,26.0,41.0,28.0,85,10.0,13.0,56,1417,SECTION LXII,Mahabharata
64,32.0,69,28.0,46.0,87.0,47.0,203,26.0,22.0,91,3551,SECTION LXIII,Mahabharata
65,16.0,21,17.0,18.0,21.0,35.0,65,11.0,10.0,38,1587, SECTION LXIV,Mahabharata
66,2.0,16,0.0,5.0,23.0,3.0,40,1.0,10.0,22,1396,SECTION LXV,Mahabharata
67,12.0,22,11.0,21.0,33.0,22.0,77,9.0,4.0,40,2195,SECTION LXVI,Mahabharata
68,49.0,42,16.0,56.0,79.0,49.0,226,15.0,18.0,93,4285,SECTION LXVII,Mahabharata
69,6.0,5,4.0,8.0,8.0,10.0,20,4.0,1.0,12,462,SECTION LXVIII,Mahabharata
70,21.0,13,6.0,23.0,11.0,33.0,39,14.0,10.0,11,863,SECTION LXIX,Mahabharata
71,14.0,17,10.0,26.0,33.0,33.0,82,14.0,12.0,33,1483,SECTION LXX,Mahabharata
72,16.0,28,6.0,30.0,36.0,28.0,70,12.0,14.0,28,1294,SECTION LXXI,Mahabharata
73,3.0,12,4.0,11.0,12.0,11.0,24,2.0,3.0,13,549,SECTION LXXII,Mahabharata
74,4.0,9,3.0,9.0,17.0,10.0,37,3.0,2.0,25,988,SECTION LXXIII,Mahabharata
75,43.0,92,52.0,67.0,124.0,110.0,229,55.0,41.0,138,3941,SECTION LXXIV,Mahabharata
76,14.0,30,10.0,19.0,38.0,23.0,78,12.0,16.0,41,1611,SECTION LXXV,Mahabharata
77,33.0,53,24.0,37.0,47.0,59.0,89,36.0,25.0,49,2473,SECTION LXXVI,Mahabharata
78,7.0,25,3.0,14.0,37.0,13.0,59,18.0,12.0,34,729,SECTION LXXVII,Mahabharata
79,16.0,26,8.0,13.0,41.0,37.0,61,25.0,19.0,24,1290,SECTION LXXVIII,Mahabharata
80,12.0,11,8.0,11.0,12.0,19.0,22,6.0,5.0,12,402,SECTION LXXIX,Mahabharata
81,6.0,14,5.0,5.0,23.0,15.0,40,8.0,9.0,22,844,SECTION LXXX,Mahabharata
82,10.0,21,10.0,11.0,25.0,22.0,61,9.0,10.0,22,1127,SECTION LXXXI,Mahabharata
83,8.0,28,8.0,9.0,33.0,20.0,62,16.0,10.0,27,865,SECTION LXXXII,Mahabharata
84,17.0,28,7.0,19.0,36.0,32.0,80,20.0,15.0,40,1273,SECTION LXXXIII,Mahabharata
85,21.0,32,7.0,22.0,34.0,23.0,51,14.0,22.0,13,986,SECTION LXXXIV,Mahabharata
86,13.0,23,5.0,17.0,25.0,8.0,55,11.0,14.0,28,1108,SECTION LXXXV,Mahabharata
87,1.0,8,3.0,2.0,7.0,3.0,25,2.0,3.0,11,514,SECTION LXXXVI,Mahabharata
88,15.0,9,7.0,9.0,7.0,21.0,25,8.0,3.0,8,467,SECTION LXXXVII,Mahabharata
89,6.0,9,3.0,8.0,16.0,16.0,28,19.0,10.0,15,531,SECTION LXXXVIII,Mahabharata
90,13.0,10,19.0,28.0,17.0,39.0,51,29.0,1.0,24,991,SECTION LXXXIX,Mahabharata
91,18.0,13,12.0,24.0,14.0,41.0,52,26.0,7.0,18,1161,SECTION XC,Mahabharata
92,5.0,14,8.0,11.0,24.0,12.0,39,9.0,3.0,21,753,SECTION XCI,Mahabharata
93,3.0,24,4.0,10.0,24.0,19.0,64,21.0,10.0,17,898,SECTION XCII,Mahabharata
94,5.0,22,6.0,7.0,22.0,13.0,53,7.0,7.0,34,1008,SECTION XCIII,Mahabharata
95,16.0,10,9.0,20.0,31.0,18.0,67,11.0,5.0,36,1632,SECTION XCIV,Mahabharata
96,14.0,33,15.0,16.0,54.0,35.0,106,19.0,11.0,39,2483,SECTION XCV,Mahabharata
97,6.0,6,1.0,8.0,8.0,11.0,21,6.0,2.0,11,685,SECTION XCVI,Mahabharata
98,8.0,30,4.0,8.0,35.0,14.0,61,4.0,10.0,31,972,SECTION XCVII,Mahabharata
99,4.0,11,2.0,5.0,25.0,10.0,46,9.0,4.0,18,726,SECTION XCVIII,Mahabharata
100,21.0,19,8.0,26.0,37.0,31.0,60,13.0,7.0,31,1207,SECTION XCIX,Mahabharata
101,28.0,72,15.0,46.0,92.0,48.0,194,33.0,29.0,97,3039,SECTION C,Mahabharata
102,4.0,1,3.0,4.0,7.0,7.0,23,1.0,1.0,14,358,SECTION CI,Mahabharata
103,34.0,21,9.0,25.0,32.0,39.0,79,10.0,13.0,33,1891,SECTION CII,Mahabharata
104,15.0,15,4.0,17.0,23.0,27.0,49,18.0,7.0,41,727,SECTION CIII,Mahabharata
105,27.0,25,11.0,25.0,26.0,42.0,69,20.0,6.0,32,1525,SECTION CIV,Mahabharata
106,15.0,38,9.0,28.0,43.0,34.0,99,32.0,14.0,59,1533,SECTION CV,Mahabharata
107,15.0,22,5.0,16.0,26.0,26.0,55,10.0,0.0,24,893,SECTION CVI,Mahabharata
108,7.0,15,6.0,11.0,12.0,17.0,21,7.0,5.0,16,443,SECTION CVII,Mahabharata
109,12.0,17,8.0,19.0,18.0,15.0,36,9.0,3.0,32,612,SECTION CVIII,Mahabharata
110,8.0,13,6.0,10.0,17.0,11.0,48,7.0,4.0,28,695,SECTION CIX,Mahabharata
111,3.0,11,1.0,2.0,20.0,7.0,37,6.0,4.0,16,467,SECTION CX,Mahabharata
112,9.0,25,7.0,16.0,28.0,19.0,60,9.0,9.0,36,926,SECTION CXI,Mahabharata
113,4.0,5,2.0,5.0,13.0,6.0,27,0.0,4.0,12,335,SECTION CXII,Mahabharata
114,12.0,20,5.0,16.0,34.0,19.0,78,12.0,11.0,34,1244,SECTION CXIII,Mahabharata
115,2.0,5,2.0,5.0,13.0,7.0,17,3.0,2.0,10,364,SECTION CXIV,Mahabharata
116,13.0,17,7.0,21.0,19.0,31.0,55,15.0,9.0,19,1127,SECTION CXV,Mahabharata
117,2.0,10,5.0,6.0,18.0,6.0,33,3.0,1.0,10,554,SECTION CXVI,Mahabharata
118,2.0,3,1.0,2.0,2.0,1.0,8,1.0,0.0,2,328,SECTION CXVII,Mahabharata
119,25.0,33,23.0,32.0,26.0,44.0,60,33.0,13.0,31,1146,SECTION CXVIII,Mahabharata
120,16.0,25,14.0,22.0,25.0,48.0,66,23.0,7.0,33,1416,SECTION CXIX,Mahabharata
121,16.0,30,16.0,26.0,27.0,44.0,59,31.0,13.0,28,1377,SECTION CXX,Mahabharata
122,15.0,12,22.0,18.0,25.0,31.0,55,22.0,8.0,35,1047,SECTION CXXI,Mahabharata
123,19.0,25,13.0,18.0,31.0,31.0,80,12.0,11.0,53,1304,SECTION CXXII,Mahabharata
124,20.0,60,19.0,35.0,74.0,41.0,133,22.0,20.0,58,2105,SECTION CXXIII,Mahabharata
125,6.0,25,7.0,14.0,26.0,15.0,60,8.0,4.0,27,982,SECTION CXXIV,Mahabharata
126,12.0,12,15.0,15.0,11.0,31.0,39,16.0,8.0,15,886,SECTION CXXV,Mahabharata
127,3.0,14,2.0,8.0,12.0,10.0,38,7.0,2.0,21,875,SECTION CXXVI,Mahabharata
128,3.0,11,3.0,13.0,18.0,14.0,36,20.0,10.0,17,721,SECTION CXXVII,Mahabharata
129,17.0,31,11.0,27.0,35.0,40.0,76,25.0,12.0,41,1558,SECTION CXXVIII,Mahabharata
130,23.0,18,10.0,25.0,26.0,34.0,56,22.0,6.0,29,997,SECTION CXXIX,Mahabharata
131,5.0,8,1.0,8.0,7.0,10.0,27,3.0,0.0,11,601,SECTION CXXX,Mahabharata
132,4.0,23,2.0,10.0,28.0,8.0,73,4.0,2.0,27,1230,SECTION CXXXI,Mahabharata
133,7.0,4,5.0,7.0,21.0,12.0,30,4.0,3.0,20,405,SECTION CXXXII,Mahabharata
134,12.0,39,7.0,19.0,63.0,39.0,96,21.0,12.0,55,1931,SECTION CXXXIII,Mahabharata
135,33.0,37,15.0,28.0,46.0,48.0,100,16.0,20.0,50,2317,SECTION CXXXIV,Mahabharata
136,13.0,14,8.0,17.0,11.0,18.0,16,6.0,9.0,13,591,SECTION CXXXV,Mahabharata
137,8.0,17,0.0,7.0,27.0,11.0,59,4.0,6.0,27,921,SECTION CXXXVI,Mahabharata
138,12.0,13,1.0,10.0,17.0,16.0,37,4.0,11.0,25,944,SECTION CXXXVII,Mahabharata
139,21.0,21,5.0,19.0,21.0,20.0,51,6.0,13.0,24,1165,SECTION CXXXVIII,Mahabharata
140,13.0,18,5.0,14.0,19.0,18.0,30,8.0,9.0,18,708,SECTION CXXXIX,Mahabharata
141,64.0,19,23.0,53.0,26.0,83.0,65,20.0,14.0,28,2060,SECTION CXL,Mahabharata
142,8.0,9,2.0,10.0,10.0,9.0,34,1.0,5.0,26,788,SECTION CXLI,Mahabharata
143,101.0,60,47.0,104.0,69.0,141.0,170,68.0,41.0,91,3482,SECTION CXLII,Mahabharata
144,21.0,18,19.0,28.0,14.0,45.0,48,18.0,11.0,30,1121,SECTION CXLIII,Mahabharata
145,20.0,5,6.0,22.0,4.0,29.0,18,12.0,1.0,15,645,SECTION CXLIV,Mahabharata
146,2.0,11,1.0,2.0,11.0,4.0,21,1.0,3.0,10,434,SECTION CXLV,Mahabharata
147,7.0,4,4.0,10.0,6.0,14.0,16,4.0,2.0,10,465,SECTION CXLVI,Mahabharata
148,13.0,6,4.0,19.0,9.0,27.0,38,13.0,4.0,19,1003,SECTION CXLVII,Mahabharata
149,16.0,15,14.0,19.0,13.0,26.0,26,12.0,8.0,16,905,SECTION CXLVIII,Mahabharata
150,8.0,8,6.0,8.0,12.0,16.0,20,9.0,7.0,19,519,SECTION CXLIX,Mahabharata
151,12.0,16,11.0,16.0,10.0,26.0,18,14.0,4.0,9,578,SECTION CL,Mahabharata
152,6.0,10,0.0,5.0,9.0,8.0,15,3.0,2.0,12,445,SECTION CLI,Mahabharata
153,15.0,11,18.0,20.0,6.0,35.0,21,22.0,9.0,13,725,SECTION CLII,Mahabharata
154,27.0,32,17.0,35.0,36.0,48.0,49,36.0,15.0,43,1255,SECTION CLIII,Mahabharata
155,24.0,24,22.0,28.0,34.0,34.0,55,15.0,9.0,29,1024,SECTION CLIV,Mahabharata
156,43.0,18,27.0,42.0,15.0,61.0,39,26.0,12.0,13,1271,SECTION CLV,Mahabharata
157,37.0,16,10.0,33.0,23.0,44.0,39,20.0,8.0,22,983,SECTION CLVI,Mahabharata
158,21.0,27,9.0,21.0,33.0,24.0,59,11.0,10.0,33,1236,SECTION CLVII,Mahabharata
159,9.0,11,3.0,10.0,21.0,10.0,37,9.0,6.0,23,594,SECTION CLVIII,Mahabharata
160,19.0,41,14.0,38.0,47.0,51.0,69,44.0,14.0,44,1187,SECTION CLIX,Mahabharata
161,11.0,24,12.0,28.0,32.0,42.0,68,26.0,14.0,41,1085,SECTION CLX,Mahabharata
162,6.0,14,3.0,20.0,22.0,35.0,37,24.0,3.0,30,744,SECTION CLXI,Mahabharata
163,8.0,10,10.0,16.0,11.0,24.0,21,10.0,2.0,17,506,SECTION CLXII,Mahabharata
164,17.0,6,11.0,24.0,12.0,24.0,24,20.0,9.0,13,627,SECTION CLXIII,Mahabharata
165,8.0,23,4.0,15.0,27.0,27.0,38,16.0,8.0,26,796,SECTION CLXIV,Mahabharata
166,29.0,10,15.0,30.0,23.0,33.0,33,11.0,6.0,22,713,SECTION CLXV,Mahabharata
167,6.0,11,5.0,17.0,15.0,15.0,25,7.0,9.0,14,527,SECTION CLXVI,Mahabharata
168,1.0,4,0.0,6.0,7.0,5.0,16,2.0,3.0,6,371,SECTION CLXVII,Mahabharata
169,8.0,16,5.0,8.0,16.0,19.0,42,6.0,6.0,18,906,SECTION CLXVIII,Mahabharata
170,22.0,31,10.0,29.0,31.0,52.0,86,20.0,11.0,27,1779,SECTION CLXIX,Mahabharata
171,4.0,8,1.0,3.0,9.0,5.0,14,4.0,5.0,11,281,SECTION CLXX,Mahabharata
172,1.0,9,2.0,6.0,13.0,9.0,34,3.0,1.0,15,537,SECTION CLXXI,Mahabharata
173,37.0,37,10.0,37.0,51.0,52.0,103,12.0,12.0,58,2441,SECTION CLXXII,Mahabharata
174,7.0,26,2.0,11.0,37.0,9.0,82,5.0,8.0,32,1110,SECTION CLXXIII,Mahabharata
175,11.0,10,5.0,12.0,15.0,17.0,31,8.0,6.0,12,726,SECTION CLXXIV,Mahabharata
176,20.0,20,12.0,21.0,24.0,24.0,61,10.0,9.0,32,1117,SECTION CLXXV,Mahabharata
177,6.0,13,7.0,13.0,14.0,20.0,27,10.0,3.0,12,635,Section CLXXVII,Mahabharata
178,17.0,23,8.0,23.0,24.0,38.0,53,17.0,16.0,24,1284,SECTION CLXXVI,Mahabharata
179,21.0,17,16.0,24.0,19.0,47.0,56,18.0,7.0,22,1358,SECTION CLXXVIII,Mahabharata
180,27.0,21,16.0,36.0,17.0,48.0,55,21.0,8.0,15,1325,SECTION CLXXIX,Mahabharata
181,11.0,17,6.0,18.0,20.0,24.0,33,13.0,3.0,30,815,SECTION CLXXX,Mahabharata
182,15.0,14,7.0,15.0,14.0,21.0,22,11.0,5.0,6,656,SECTION CLXXXI,Mahabharata
183,21.0,14,7.0,22.0,17.0,30.0,29,13.0,5.0,21,698,SECTION CLXXXII,Mahabharata
184,14.0,17,7.0,17.0,16.0,17.0,25,10.0,9.0,17,610,SECTION CLXXXIII,Mahabharata
185,24.0,11,17.0,24.0,10.0,35.0,32,22.0,4.0,10,712,SECTION CLXXXIV,Mahabharata
186,1.0,7,1.0,4.0,11.0,2.0,25,2.0,3.0,17,367,SECTION CLXXXV,Mahabharata
187,6.0,15,4.0,9.0,19.0,8.0,35,6.0,7.0,16,561,SECTION CLXXXVI,Mahabharata
188,5.0,6,1.0,5.0,13.0,8.0,43,1.0,2.0,12,1037,SECTION CLXXXVII,Mahabharata
189,9.0,3,2.0,9.0,11.0,1.0,18,0.0,1.0,11,460,SECTION CLXXXVIII,Mahabharata
190,9.0,16,5.0,14.0,25.0,19.0,56,14.0,10.0,26,1012,SECTION CLXXXIX,Mahabharata
191,13.0,13,8.0,14.0,23.0,27.0,36,14.0,12.0,15,824,SECTION CLXL,Mahabharata
192,28.0,18,13.0,24.0,24.0,29.0,44,10.0,13.0,25,822,SECTION CLXLI,Mahabharata
193,41.0,24,10.0,31.0,29.0,46.0,53,12.0,19.0,26,1260,SECTION CLXLII,Mahabharata
194,9.0,19,5.0,17.0,21.0,21.0,50,7.0,9.0,19,961,SECTION CLXLIII,Mahabharata
195,5.0,11,1.0,10.0,13.0,8.0,29,5.0,3.0,10,638,SECTION CLXLIV,Mahabharata
196,13.0,21,2.0,19.0,27.0,17.0,72,10.0,14.0,29,1153,SECTION CLXLV,Mahabharata
197,3.0,9,2.0,7.0,12.0,5.0,31,1.0,2.0,17,527,SECTION CLXLVI,Mahabharata
198,8.0,12,2.0,13.0,19.0,17.0,52,8.0,2.0,15,923,SECTION CLXLVII,Mahabharata
199,9.0,6,5.0,10.0,13.0,15.0,33,7.0,3.0,16,705,SECTION CLXLVIII,Mahabharata
200,32.0,49,20.0,53.0,57.0,57.0,123,26.0,17.0,38,2184,SECTION CLXLIX,Mahabharata
201,5.0,15,2.0,12.0,24.0,7.0,52,2.0,4.0,24,760,SECTION CC,Mahabharata
202,3.0,13,4.0,3.0,20.0,7.0,33,5.0,7.0,15,525,SECTION CCI,Mahabharata
203,17.0,16,9.0,18.0,20.0,31.0,54,8.0,9.0,29,967,SECTION CCII,Mahabharata
204,8.0,11,3.0,7.0,8.0,11.0,20,3.0,4.0,17,610,SECTION CCIII,Mahabharata
205,9.0,12,2.0,11.0,14.0,15.0,37,11.0,4.0,18,729,SECTION CCIV,Mahabharata
206,12.0,12,10.0,15.0,8.0,22.0,26,12.0,3.0,10,552,SECTION CCV,Mahabharata
207,11.0,15,9.0,8.0,17.0,18.0,47,8.0,6.0,27,884,SECTION CCVI,Mahabharata
208,10.0,12,5.0,15.0,15.0,24.0,42,15.0,7.0,29,893,SECTION CCVII,Mahabharata
209,3.0,12,2.0,7.0,23.0,7.0,46,6.0,8.0,32,682,SECTION CCVIII,Mahabharata
210,8.0,17,3.0,14.0,32.0,14.0,74,8.0,9.0,38,1501,SECTION CCIX,Mahabharata
211,3.0,10,1.0,6.0,16.0,7.0,38,0.0,1.0,13,605,SECTION CCX,Mahabharata
212,11.0,20,9.0,15.0,25.0,21.0,44,10.0,8.0,19,1005,SECTION CCXI,Mahabharata
213,18.0,7,12.0,26.0,8.0,28.0,26,21.0,4.0,9,805,SECTION CCXII,Mahabharata
214,5.0,14,4.0,9.0,25.0,9.0,41,4.0,4.0,10,827,SECTION CCXIII,Mahabharata
215,10.0,11,4.0,10.0,24.0,21.0,45,3.0,4.0,21,888,SECTION CCXIV,Mahabharata
216,17.0,12,13.0,22.0,16.0,41.0,51,21.0,7.0,32,967,SECTION CCXV,Mahabharata
217,6.0,20,3.0,17.0,29.0,17.0,66,10.0,13.0,29,1150,SECTION CCXVI,Mahabharata
218,4.0,13,1.0,8.0,20.0,8.0,44,2.0,3.0,13,775,SECTION CCXVII,Mahabharata
219,9.0,11,3.0,12.0,17.0,8.0,26,4.0,7.0,13,625,SECTION CCXVIII,Mahabharata
220,8.0,16,4.0,12.0,27.0,17.0,46,10.0,10.0,28,771,SECTION CCXIX,Mahabharata
221,2.0,17,1.0,3.0,17.0,2.0,25,2.0,8.0,12,558,SECTION CCXX,Mahabharata
222,8.0,14,4.0,7.0,25.0,7.0,32,2.0,8.0,18,648,SECTION CCXXI,Mahabharata
223,19.0,17,7.0,22.0,12.0,31.0,36,9.0,8.0,15,894,SECTION CCXXII,Mahabharata
224,24.0,39,8.0,32.0,67.0,37.0,119,9.0,10.0,56,2360,SECTION CCXXIII,Mahabharata
225,5.0,14,6.0,6.0,29.0,12.0,53,5.0,10.0,19,956,SECTION CCXXIV,Mahabharata
226,23.0,22,15.0,38.0,32.0,58.0,104,29.0,12.0,50,2278,SECTION CCXXV,Mahabharata
227,7.0,8,1.0,6.0,9.0,13.0,15,4.0,2.0,7,426,SECTION CCXXVI,Mahabharata
228,16.0,18,9.0,20.0,26.0,29.0,49,5.0,4.0,22,1085,SECTION CCXXVII,Mahabharata
229,16.0,5,9.0,24.0,3.0,26.0,9,13.0,5.0,3,599,SECTION CCXXVIII,Mahabharata
230,38.0,15,16.0,47.0,18.0,59.0,49,23.0,9.0,18,1394,SECTION CCXXIX,Mahabharata
231,25.0,11,15.0,34.0,12.0,44.0,25,21.0,12.0,13,1193,SECTION CCXXX,Mahabharata
