chapter,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_counts,chapter_names,file
232,13.0,26,10.0,23.0,26.0,25.0,39,22.0,15.0,22,1063,SECTION CCXXXI,Mahabharata
233,11.0,28,8.0,37.0,16.0,36.0,26,24.0,14.0,18,736,SECTION CCXXXII,Mahabharata
234,13.0,19,8.0,24.0,16.0,22.0,22,14.0,14.0,8,598,SECTION CCXXXIII,Mahabharata
235,7.0,31,9.0,16.0,33.0,17.0,56,21.0,20.0,28,900,SECTION CCXXXIV,Mahabharata
236,14.0,27,10.0,26.0,24.0,36.0,36,23.0,7.0,19,978,SECTION CCXXXV,Mahabharata
237,3.0,8,8.0,4.0,10.0,10.0,22,5.0,2.0,11,533,SECTION CCXXXVI,Mahabharata
238,3.0,9,2.0,3.0,10.0,5.0,28,2.0,3.0,14,632,SECTION I,Mahabharata
239,7.0,16,3.0,10.0,23.0,16.0,41,8.0,8.0,26,941,SECTION II,Mahabharata
240,7.0,16,15.0,15.0,25.0,22.0,47,11.0,6.0,26,1060,SECTION III,Mahabharata
241,5.0,9,5.0,5.0,18.0,6.0,46,5.0,4.0,19,954,SECTION IV,Mahabharata
242,71.0,109,37.0,84.0,130.0,109.0,285,50.0,46.0,180,4202,SECTION V,Mahabharata
243,4.0,14,4.0,5.0,12.0,13.0,38,5.0,4.0,20,647,SECTION VI,Mahabharata
244,8.0,26,9.0,20.0,32.0,19.0,61,9.0,9.0,32,889,SECTION VII,Mahabharata
245,6.0,24,4.0,11.0,29.0,12.0,72,7.0,9.0,37,1083,SECTION VIII,Mahabharata
246,4.0,22,4.0,9.0,23.0,13.0,36,5.0,1.0,19,771,SECTION IX,Mahabharata
247,7.0,23,15.0,12.0,31.0,21.0,68,7.0,5.0,32,1018,SECTION X,Mahabharata
248,4.0,25,6.0,13.0,36.0,16.0,81,4.0,7.0,38,1698,SECTION XI,Mahabharata
249,5.0,10,2.0,6.0,24.0,8.0,47,5.0,5.0,24,1066,SECTION XII,Mahabharata
250,20.0,35,12.0,26.0,40.0,39.0,106,17.0,15.0,50,1623,SECTION XIII,Mahabharata
251,39.0,26,23.0,49.0,34.0,51.0,103,22.0,17.0,56,2101,SECTION XIV,Mahabharata
252,14.0,18,8.0,21.0,24.0,29.0,52,9.0,10.0,35,867,SECTION XV,Mahabharata
253,17.0,6,8.0,16.0,8.0,22.0,33,11.0,2.0,15,571,SECTION XVI,Mahabharata
254,35.0,34,24.0,33.0,36.0,49.0,93,19.0,15.0,36,1652,SECTION XVII,Mahabharata
255,6.0,19,2.0,4.0,19.0,8.0,38,2.0,4.0,12,449,SECTION XVIII,Mahabharata
256,12.0,10,10.0,22.0,12.0,26.0,39,14.0,6.0,23,797,SECTION XIX,Mahabharata
257,17.0,17,8.0,14.0,23.0,23.0,50,9.0,6.0,34,911,SECTION XX,Mahabharata
258,10.0,23,4.0,17.0,35.0,21.0,80,6.0,3.0,30,1556,SECTION XXI,Mahabharata
259,36.0,19,20.0,36.0,16.0,48.0,67,26.0,15.0,34,1163,SECTION XXII,Mahabharata
260,25.0,12,8.0,23.0,10.0,35.0,34,13.0,4.0,13,1133,SECTION XXIII,Mahabharata
261,36.0,44,25.0,39.0,41.0,52.0,85,24.0,21.0,44,1812,SECTION XXIV,Mahabharata
262,2.0,5,1.0,9.0,9.0,10.0,16,4.0,2.0,7,400,SECTION XXV,Mahabharata
263,10.0,8,6.0,8.0,9.0,15.0,25,6.0,3.0,11,783,SECTION XXVI,Mahabharata
264,3.0,8,1.0,4.0,14.0,5.0,21,1.0,5.0,13,543,SECTION XXVII,Mahabharata
265,9.0,6,4.0,9.0,11.0,7.0,24,2.0,5.0,9,422,SECTION XXVIII,Mahabharata
266,21.0,12,8.0,16.0,21.0,17.0,46,4.0,8.0,26,752,SECTION XXIX,Mahabharata
267,39.0,70,12.0,50.0,88.0,52.0,175,25.0,38.0,83,2312,SECTION XXX,Mahabharata
268,7.0,8,4.0,9.0,17.0,9.0,31,1.0,7.0,18,566,SECTION XXXI,Mahabharata
269,15.0,25,5.0,11.0,35.0,17.0,66,8.0,9.0,41,1587,SECTION XXXII,Mahabharata
270,3.0,5,2.0,3.0,10.0,3.0,33,1.0,2.0,10,674,SECTION XXXIII,Mahabharata
271,0.0,5,3.0,4.0,18.0,4.0,34,1.0,1.0,23,591,SECTION XXXIV,Mahabharata
272,5.0,14,2.0,4.0,19.0,5.0,47,0.0,6.0,26,933,SECTION XXXV,Mahabharata
273,11.0,17,8.0,18.0,20.0,14.0,58,11.0,8.0,33,945,SECTION XXXVI,Mahabharata
274,9.0,25,7.0,17.0,36.0,15.0,81,5.0,7.0,44,989,SECTION XXXVII,Mahabharata
275,12.0,10,2.0,15.0,16.0,10.0,26,5.0,2.0,20,483,SECTION XXXVIII,Mahabharata
276,13.0,4,3.0,15.0,6.0,14.0,25,3.0,2.0,8,431,SECTION XXXIX,Mahabharata
277,25.0,20,23.0,26.0,34.0,42.0,90,27.0,16.0,57,1250,SECTION XL,Mahabharata
278,22.0,9,11.0,16.0,7.0,27.0,19,10.0,4.0,13,523,SECTION XLI,Mahabharata
279,18.0,18,4.0,17.0,15.0,33.0,37,15.0,6.0,16,680,SECTION XLII,Mahabharata
280,27.0,14,20.0,25.0,26.0,38.0,48,16.0,5.0,33,1142,SECTION XLIII,Mahabharata
281,49.0,39,23.0,38.0,50.0,60.0,122,25.0,19.0,56,1884,SECTION XLIV,Mahabharata
282,20.0,18,8.0,24.0,14.0,34.0,52,19.0,5.0,27,1004,SECTION XLV,Mahabharata
283,12.0,15,7.0,20.0,13.0,25.0,51,16.0,6.0,12,1011,SECTION XLVI,Mahabharata
284,10.0,9,5.0,9.0,9.0,10.0,29,7.0,7.0,10,619,SECTION XLVII,Mahabharata
285,23.0,30,13.0,33.0,40.0,56.0,103,26.0,8.0,55,1745,SECTION XLVIII,Mahabharata
286,17.0,11,9.0,20.0,22.0,34.0,58,22.0,9.0,29,1129,SECTION XLIX,Mahabharata
287,4.0,10,1.0,4.0,12.0,12.0,55,7.0,2.0,20,1034,SECTION L,Mahabharata
288,6.0,19,5.0,6.0,21.0,15.0,72,8.0,7.0,25,1305,SECTION LI,Mahabharata
289,2.0,12,3.0,8.0,13.0,11.0,50,5.0,5.0,13,802,SECTION LII,Mahabharata
290,8.0,8,10.0,6.0,17.0,15.0,27,9.0,4.0,17,359,SECTION LIII,Mahabharata
291,19.0,21,9.0,19.0,19.0,29.0,44,9.0,8.0,21,718,SECTION LIV,Mahabharata
292,13.0,18,7.0,12.0,14.0,28.0,46,9.0,5.0,17,781,SECTION LV,Mahabharata
293,7.0,3,2.0,5.0,1.0,13.0,8,2.0,1.0,3,151,SECTION LVI,Mahabharata
294,11.0,29,10.0,13.0,30.0,20.0,75,11.0,12.0,27,1332,SECTION LVII,Mahabharata
295,18.0,15,18.0,14.0,18.0,33.0,56,23.0,7.0,23,804,SECTION LVIII,Mahabharata
296,0.0,3,0.0,0.0,11.0,0.0,19,0.0,2.0,8,232,SECTION LIX,Mahabharata
297,12.0,17,6.0,4.0,22.0,17.0,40,5.0,4.0,20,928,SECTION LX,Mahabharata
298,14.0,14,7.0,15.0,8.0,33.0,28,13.0,8.0,11,691,SECTION LXI,Mahabharata
299,11.0,11,8.0,13.0,10.0,19.0,20,9.0,8.0,8,397,SECTION LXII,Mahabharata
300,23.0,16,20.0,18.0,17.0,34.0,46,18.0,10.0,22,880,SECTION LXIII,Mahabharata
301,12.0,24,10.0,12.0,30.0,24.0,70,11.0,10.0,29,1572,SECTION LXIV,Mahabharata
302,23.0,4,10.0,12.0,4.0,33.0,10,16.0,2.0,5,515,SECTION LXV,Mahabharata
303,80.0,53,43.0,69.0,68.0,173.0,234,59.0,26.0,140,4737,SECTION LXVI,Mahabharata
304,11.0,10,5.0,12.0,6.0,23.0,30,9.0,4.0,19,681,SECTION LXVIII,Mahabharata
305,14.0,9,13.0,12.0,11.0,29.0,44,12.0,8.0,26,605,SECTION LXIX,Mahabharata
306,26.0,16,10.0,22.0,22.0,39.0,81,26.0,7.0,23,1358,SECTION LXX,Mahabharata
307,16.0,8,7.0,10.0,7.0,20.0,18,8.0,6.0,10,505,SECTION LXXI,Mahabharata
308,9.0,19,4.0,6.0,23.0,13.0,37,6.0,13.0,28,585,SECTION LXXII,Mahabharata
309,22.0,10,7.0,17.0,10.0,29.0,27,8.0,6.0,18,776,SECTION LXXIII,Mahabharata
310,7.0,5,4.0,7.0,8.0,16.0,24,8.0,3.0,17,411,SECTION LXXIV,Mahabharata
311,12.0,7,2.0,12.0,3.0,19.0,25,8.0,2.0,12,716,SECTION LXXV,Mahabharata
312,51.0,23,21.0,34.0,24.0,73.0,54,22.0,10.0,30,1372,SECTION LXXVI,Mahabharata
313,8.0,9,5.0,14.0,16.0,12.0,32,9.0,6.0,19,728,SECTION LXXVII,Mahabharata
314,13.0,26,13.0,24.0,22.0,45.0,54,39.0,12.0,33,1129,SECTION LXXVIII,Mahabharata
315,31.0,20,7.0,24.0,24.0,46.0,61,26.0,6.0,28,1533,SECTION LXXIX,Mahabharata
316,38.0,22,16.0,36.0,27.0,50.0,60,28.0,13.0,32,1091,SECTION LXXX,Mahabharata
317,22.0,16,18.0,33.0,29.0,47.0,64,37.0,14.0,45,1334,SECTION I,Mahabharata
318,49.0,53,41.0,81.0,91.0,119.0,165,73.0,29.0,96,2651,SECTION II,Mahabharata
319,7.0,66,12.0,25.0,89.0,30.0,144,48.0,39.0,73,2480,SECTION III,Mahabharata
320,11.0,19,6.0,14.0,23.0,18.0,53,11.0,9.0,31,863,SECTION IV,Mahabharata
321,11.0,11,2.0,7.0,10.0,15.0,34,5.0,5.0,15,785,SECTION V,Mahabharata
322,11.0,12,4.0,15.0,12.0,24.0,44,14.0,4.0,23,713,SECTION VI,Mahabharata
323,11.0,16,5.0,13.0,10.0,20.0,39,10.0,3.0,15,695,SECTION VII,Mahabharata
324,10.0,7,8.0,12.0,5.0,15.0,13,10.0,6.0,5,320,SECTION VIII,Mahabharata
325,12.0,13,8.0,19.0,14.0,29.0,36,23.0,8.0,17,698,SECTION IX,Mahabharata
326,25.0,22,10.0,24.0,21.0,36.0,56,15.0,12.0,28,1070,SECTION X,Mahabharata
327,64.0,29,34.0,65.0,29.0,92.0,66,32.0,24.0,34,2003,SECTION XI,Mahabharata
328,105.0,59,63.0,98.0,74.0,139.0,152,81.0,43.0,87,3900,SECTION XII,Mahabharata
329,13.0,8,7.0,12.0,5.0,21.0,13,13.0,6.0,9,494,SECTION XIII,Mahabharata
330,25.0,4,13.0,17.0,8.0,32.0,24,11.0,6.0,13,688,SECTION XIV,Mahabharata
331,11.0,4,3.0,12.0,3.0,14.0,22,4.0,3.0,11,619,SECTION XV,Mahabharata
332,23.0,10,11.0,28.0,24.0,32.0,48,5.0,15.0,38,874,SECTION XVI,Mahabharata
333,36.0,5,10.0,32.0,12.0,35.0,27,7.0,11.0,16,664,SECTION XVII,Mahabharata
334,40.0,8,12.0,36.0,12.0,44.0,31,22.0,12.0,11,1022,SECTION XVIII,Mahabharata
335,19.0,12,11.0,23.0,13.0,29.0,28,11.0,9.0,23,756,SECTION XIX,Mahabharata
336,24.0,11,8.0,21.0,14.0,34.0,27,16.0,7.0,8,1166,SECTION XX,Mahabharata
337,23.0,11,5.0,21.0,14.0,33.0,32,12.0,7.0,21,872,SECTION XXI,Mahabharata
338,46.0,26,18.0,49.0,30.0,63.0,46,24.0,25.0,26,1496,SECTION XXII,Mahabharata
339,3.0,9,1.0,1.0,11.0,5.0,29,3.0,7.0,17,546,SECTION XXIII,Mahabharata
340,7.0,13,3.0,12.0,25.0,5.0,49,3.0,4.0,26,779,SECTION XXIV,Mahabharata
341,16.0,6,10.0,15.0,17.0,14.0,35,7.0,7.0,22,747,SECTION XXV,Mahabharata
342,3.0,9,1.0,2.0,8.0,9.0,23,1.0,0.0,14,700,SECTION XXVI,Mahabharata
343,51.0,19,20.0,38.0,23.0,71.0,54,32.0,9.0,20,1135,SECTION XXVII,Mahabharata
344,21.0,23,12.0,24.0,16.0,42.0,45,13.0,5.0,21,1005,SECTION XXVIII,Mahabharata
345,76.0,29,31.0,54.0,43.0,85.0,93,26.0,6.0,58,1550,SECTION XXIX,Mahabharata
346,25.0,28,26.0,43.0,32.0,55.0,74,32.0,13.0,53,1254,SECTION XXX,Mahabharata
347,12.0,34,15.0,23.0,37.0,40.0,92,21.0,11.0,72,1245,SECTION XXXI,Mahabharata
348,21.0,49,27.0,38.0,45.0,59.0,83,34.0,12.0,51,1904,SECTION XXXII,Mahabharata
349,61.0,46,35.0,64.0,72.0,101.0,194,49.0,28.0,119,2798,SECTION XXXIII,Mahabharata
350,14.0,12,5.0,8.0,15.0,25.0,36,16.0,4.0,19,873,SECTION XXXIV,Mahabharata
351,25.0,36,18.0,39.0,23.0,61.0,63,36.0,14.0,29,1035,SECTION XXXV,Mahabharata
352,27.0,25,5.0,23.0,28.0,31.0,57,9.0,9.0,30,1265,SECTION XXXVI,Mahabharata
353,20.0,45,13.0,22.0,47.0,32.0,76,14.0,23.0,33,1705,SECTION XXXVII,Mahabharata
354,14.0,15,8.0,22.0,17.0,25.0,37,10.0,5.0,17,968,SECTION XXXVIII,Mahabharata
355,51.0,55,24.0,71.0,59.0,80.0,100,44.0,29.0,44,2398,SECTION XXXIX,Mahabharata
356,19.0,17,15.0,22.0,18.0,25.0,32,9.0,5.0,18,875,SECTION XL,Mahabharata
357,24.0,34,10.0,28.0,36.0,37.0,61,11.0,10.0,37,1450,SECTION XLI,Mahabharata
358,7.0,25,4.0,13.0,32.0,14.0,50,11.0,13.0,23,1154,SECTION XLII,Mahabharata
359,7.0,13,9.0,14.0,21.0,17.0,36,8.0,5.0,18,918,SECTION XLIII,Mahabharata
360,6.0,8,4.0,4.0,15.0,8.0,29,9.0,2.0,11,362,SECTION XLIV,Mahabharata
361,4.0,6,3.0,2.0,15.0,9.0,37,0.0,2.0,16,562,SECTION XLV,Mahabharata
362,21.0,37,7.0,28.0,52.0,42.0,92,24.0,17.0,44,1855,SECTION XLVI,Mahabharata
363,17.0,12,10.0,17.0,20.0,21.0,51,9.0,9.0,28,996,SECTION XLVII,Mahabharata
364,15.0,12,7.0,15.0,11.0,26.0,21,15.0,11.0,14,520,SECTION XLVIII,Mahabharata
365,18.0,3,11.0,17.0,6.0,33.0,21,8.0,3.0,15,644,SECTION XLIX,Mahabharata
366,6.0,4,1.0,6.0,7.0,11.0,13,9.0,1.0,7,350,SECTION L,Mahabharata
367,44.0,16,13.0,34.0,18.0,59.0,49,17.0,12.0,22,1389,SECTION LI,Mahabharata
368,37.0,26,21.0,38.0,25.0,65.0,73,45.0,17.0,36,1646,SECTION LII,Mahabharata
369,11.0,11,10.0,13.0,21.0,14.0,56,4.0,8.0,19,946,SECTION LIII,Mahabharata
370,12.0,17,8.0,18.0,28.0,24.0,44,14.0,5.0,19,814,SECTION LIV,Mahabharata
371,2.0,10,2.0,4.0,14.0,10.0,31,1.0,4.0,13,717,SECTION LV,Mahabharata
372,6.0,13,11.0,8.0,22.0,18.0,53,4.0,5.0,32,746,SECTION LVI,Mahabharata
373,3.0,22,9.0,13.0,35.0,20.0,83,7.0,7.0,34,1213,SECTION LVII,Mahabharata
374,7.0,3,6.0,9.0,4.0,14.0,15,5.0,3.0,6,395,SECTION LVIII,Mahabharata
375,6.0,5,5.0,9.0,4.0,14.0,23,7.0,3.0,12,465,SECTION LIX,Mahabharata
376,10.0,8,4.0,7.0,10.0,22.0,31,8.0,2.0,11,599,SECTION LX,Mahabharata
377,20.0,6,8.0,16.0,13.0,41.0,44,22.0,4.0,18,972,SECTION LXI,Mahabharata
378,11.0,15,11.0,12.0,13.0,34.0,29,20.0,8.0,11,796,SECTION LXII,Mahabharata
379,21.0,13,23.0,35.0,13.0,59.0,47,36.0,12.0,20,1003,SECTION LXIII,Mahabharata
380,50.0,77,48.0,83.0,96.0,116.0,223,72.0,45.0,96,3642,SECTION LXIV,Mahabharata
381,50.0,41,35.0,66.0,44.0,102.0,76,58.0,30.0,41,2069,SECTION LXV,Mahabharata
382,21.0,5,20.0,32.0,6.0,39.0,29,12.0,2.0,10,743,SECTION LXVI,Mahabharata
383,9.0,10,11.0,15.0,9.0,20.0,23,19.0,7.0,9,533,SECTION LXVII,Mahabharata
384,10.0,23,16.0,18.0,34.0,34.0,62,29.0,12.0,24,1058,SECTION LXVIII,Mahabharata
385,15.0,27,7.0,22.0,39.0,41.0,74,29.0,12.0,28,1300,SECTION LXIX,Mahabharata
386,19.0,15,14.0,13.0,18.0,34.0,35,23.0,6.0,17,709,SECTION LXX,Mahabharata
387,9.0,15,7.0,12.0,15.0,23.0,49,15.0,7.0,26,993,SECTION LXXI,Mahabharata
388,26.0,25,16.0,20.0,20.0,29.0,54,18.0,15.0,25,1138,SECTION LXXII,Mahabharata
389,3.0,20,3.0,10.0,26.0,11.0,59,7.0,9.0,19,1003,SECTION LXXIII,Mahabharata
390,22.0,10,13.0,17.0,14.0,38.0,42,19.0,5.0,10,812,SECTION LXXIV,Mahabharata
391,4.0,3,1.0,5.0,6.0,15.0,16,7.0,5.0,6,704,SECTION LXXV,Mahabharata
392,18.0,19,17.0,27.0,32.0,56.0,74,33.0,7.0,34,1365,SECTION LXXVI,Mahabharata
393,3.0,9,0.0,2.0,13.0,7.0,33,2.0,4.0,11,494,SECTION LXXVII,Mahabharata
394,10.0,21,2.0,8.0,36.0,17.0,60,5.0,12.0,31,913,SECTION LXXVIII,Mahabharata
395,14.0,14,10.0,19.0,22.0,26.0,48,20.0,4.0,20,778,SECTION LXXIX,Mahabharata
396,13.0,18,5.0,13.0,23.0,20.0,49,8.0,12.0,24,865,SECTION LXXX,Mahabharata
397,3.0,13,1.0,8.0,20.0,9.0,39,9.0,4.0,18,608,SECTION LXXXI,Mahabharata
398,11.0,51,25.0,39.0,74.0,33.0,168,23.0,26.0,83,3700,SECTION LXXXII,Mahabharata
399,31.0,100,31.0,67.0,124.0,75.0,273,53.0,45.0,144,5750,SECTION LXXXIII,Mahabharata
400,23.0,61,29.0,53.0,65.0,66.0,207,44.0,11.0,126,4391,SECTION LXXXIV,Mahabharata
401,19.0,53,22.0,34.0,61.0,35.0,195,31.0,19.0,101,3690,SECTION LXXXV,Mahabharata
402,12.0,22,8.0,19.0,22.0,15.0,38,8.0,7.0,25,665,SECTION LXXXVI,Mahabharata
403,2.0,11,4.0,8.0,18.0,10.0,33,7.0,2.0,11,841,SECTION LXXXVII,Mahabharata
404,5.0,14,6.0,11.0,14.0,13.0,39,3.0,2.0,16,824,SECTION LXXXVIII,Mahabharata
405,5.0,7,6.0,6.0,8.0,10.0,17,3.0,0.0,11,525,SECTION LXXXIX,Mahabharata
406,4.0,13,9.0,14.0,19.0,17.0,52,7.0,7.0,22,937,SECTION XC,Mahabharata
407,8.0,6,4.0,6.0,10.0,13.0,24,5.0,3.0,13,695,SECTION XCI,Mahabharata
408,8.0,16,4.0,7.0,16.0,17.0,42,5.0,7.0,24,725,SECTION XCII,Mahabharata
409,5.0,7,6.0,11.0,17.0,11.0,42,5.0,5.0,22,780,SECTION XCIII,Mahabharata
410,13.0,15,12.0,20.0,23.0,28.0,47,18.0,8.0,19,572,SECTION XCIV,Mahabharata
411,3.0,12,4.0,5.0,17.0,4.0,47,3.0,3.0,27,916,SECTION XCV,Mahabharata
412,14.0,14,8.0,13.0,23.0,20.0,47,4.0,5.0,26,851,SECTION XCVI,Mahabharata
413,6.0,10,10.0,7.0,19.0,23.0,42,7.0,5.0,21,705,SECTION XCVII,Mahabharata
414,3.0,19,4.0,4.0,17.0,22.0,40,10.0,0.0,21,586,SECTION XCVIII,Mahabharata
415,21.0,34,11.0,30.0,44.0,35.0,80,18.0,11.0,34,2091,SECTION XCIX,Mahabharata
416,17.0,9,10.0,19.0,14.0,24.0,26,6.0,5.0,11,716,SECTION C,Mahabharata
417,23.0,9,6.0,21.0,7.0,31.0,28,9.0,4.0,13,713,SECTION CI,Mahabharata
418,17.0,7,12.0,29.0,8.0,34.0,20,16.0,6.0,13,755,SECTION CII,Mahabharata
419,8.0,4,6.0,5.0,6.0,12.0,23,5.0,3.0,11,569,SECTION CIII,Mahabharata
420,11.0,18,3.0,9.0,18.0,14.0,35,2.0,12.0,16,714,SECTION CIV,Mahabharata
421,14.0,14,3.0,13.0,18.0,15.0,36,7.0,5.0,17,597,SECTION CV,Mahabharata
422,8.0,24,5.0,19.0,25.0,17.0,45,7.0,8.0,24,881,SECTION CVI,Mahabharata
423,40.0,33,16.0,38.0,30.0,62.0,98,36.0,20.0,70,2177,SECTION CVII,Mahabharata
424,13.0,23,10.0,18.0,23.0,23.0,49,16.0,8.0,26,927,SECTION CVIII,Mahabharata
425,11.0,14,9.0,13.0,21.0,11.0,52,4.0,7.0,22,631,SECTION CIX,Mahabharata
426,27.0,44,17.0,29.0,50.0,45.0,106,15.0,27.0,59,1939,SECTION CX,Mahabharata
427,3.0,27,4.0,6.0,29.0,16.0,57,12.0,16.0,28,909,SECTION CXI,Mahabharata
428,4.0,10,3.0,5.0,21.0,7.0,37,3.0,11.0,20,727,SECTION CXII,Mahabharata
429,7.0,20,7.0,11.0,20.0,15.0,45,6.0,8.0,20,964,SECTION CXIII,Mahabharata
430,13.0,24,9.0,23.0,33.0,29.0,72,6.0,14.0,39,1113,SECTION CXIV,Mahabharata
431,13.0,44,6.0,24.0,61.0,23.0,99,12.0,18.0,64,1589,SECTION CXV,Mahabharata
432,25.0,23,14.0,26.0,23.0,42.0,46,19.0,12.0,26,987,SECTION CXVI,Mahabharata
